calisma_sekli,departman,egitim,genel_nit_is_tanimi,ilan_baslik,label,sehir,sektor,sirket_adi,tecrube
,,,"Üniversitelerin ilgili mühendislik bölümlerinden mezun (Bilgisayar Mühendisliği, Yazılım Mühendisliği, Matematik Mühendisliği, Elektrik-Elektronik Mühendisliği vb.) ,Microsoft ASP.Net, C# platformlarında tecrübeli ,ASP.NET, MVC, WCF, Javascript, Entity Framework gibi teknolojilere hakim ,Nesneye dayalı tasarım ve programlamaya ileri düzeyde hakim ,Oracle ya da benzeri bir ilişkisel veri tabanı ile çalışmış, SQL konusunda tecrübeli, veritabanı modelleme konularına hakim,RESTful servisler ve SOAP tabanlı web servisler geliştirme tecrübesine sahip ,Tercihen bir Source Control yazılımı (GIT, SVN, CVS, SourceSafe, TFS) kullanarak proje geliştirmiş ,İŞ TANIMI,IT alanında danışmanlık ve proje hizmetleri vermekte olduğumuz kurum müşterilerimizde konumlandırılmak üzere çalışabilecek .NET Developer takım arkadaşları aramaktayız. , ",.NET DEVELOPER,banka_sigorta,,,Inspirit Bilgi Teknolojileri Yazılım Danışmanlık,
,,,"8 Yıllık tecrübeye sahip Google Play Store ve Appstore' da kendini bir çok kere kanıtlamış (Rooster Games), geliştirdiği oyunlarla 120 Milyon tekil kullanıcıya ulaşmış bir oyun şirketinde yer almak istiyorsan doğru yerdesin.,Türkiye' de sayılı başarılara imza atmış, oyun geliştirme alanında sağlam temellere dayalı şirketlerle network ağına sahip şirketimizde aşağıdaki kriterleri karşılıyorsanız aile ortamı sıcaklığındaki bünyemizde sizi görmekten heyecan duyarız. ,Neler Olmalı : ,* Unity 3D oyun motorunda tecrübeye sahip,* Bilgisayar/Yazılım mühendisliği yada dengi bir okuldan mezun olmuş,* İngilizce bilgisine sahip,* C# programlama diline hakim. ,* UI/UX konusunda bilinçli ,* Takım çalışmasına yatkın.,* Pratik düşünebilen ve oyun fikirlerini oynanabilir prototipe dönüştürmede istekli ve arzulu,* Motivasyonu yüksek,* Pozitif düşünen,* Uzun yıllar çalışma konusunda istikrarlı.,* Denizlide ikamet eden yada edebilecek,* Erkek adaylar için bedelli askerlik dışında engeli olmayan.,Olması güzel, ,* Maya, 3dsmax gibi modelleme programlarında bilgi sahibi olan,* Photoshop, After Effects gibi görsel programlarda bilgi sahibi,* UI / 3D Animasyon konusunda bilgi sahibi,Sizinle birlikte çalışmak bizi fazlasıyla heyecanlandıracak ! ",Bilgisayar/Yazılım Mühendisi : Oyun Geliştirme,banka_sigorta,,,ROOSTER GAMES,
,,"Bilgisayar Mühendisliği,Elektronik Mühendisliği,Elektronik ve Haberleşme Müh.,Yazılım Mühendisliği","Yazılım tasarım ve geliştirme süreçlerinde görev alacak.,.Net, ASP .Net, MVC ortamları ve C# ile geliştirme konularına çok hakim ve bu konuların tümünde  bilgi ve deneyim sahibi (Kurumsal yazılım geliştirme projelerinde aktif olarak görev almış).,Jquery,  Javascript, HTML, Ajax konularında bilgi ve deneyim sahibi,SOA, Object Oriented, Design Patterns konusunda bilgi ve deyim sahibi,İlişkisel veritabanı tasarım ve geliştirme konusunda bilgi ve deneyim sahibi (SQL, Oracle),Yeni teknolojiler öğrenmeye istekli,İngilizce seviyesi en az orta ve üzerinde düzeyde olan,İlgili alanda en az 3 yıl deneyimli, Kıdemli yazılım geliştirme uzmanı ,aranmaktadır.,Mülakatta ilgili konularda bilgi düzeyini ölçümlemek için sınav yapılacaktır.",Kıdemli Yazılım Geliştirme Uzmanı,banka_sigorta,,,İnfoera Yazılım Dan. San. Tic. Ltd. Şti.,En az 3 yıl tecrübeli adaylar
Sürekli / Tam zamanlı,Bilgi İşlem,,"Şirketimizin Ankara'daki projelerinde görevlendirilmek üzere; üniversitelerin 4 (dört) yıllık lisans (tercihen mühendislik veya temel bilimler bölümlerinden) mezun aşağıdaki niteliklerde ‘’Yazılım Proje Yöneticisi’’ alınacaktır. , * Yazılım Proje Yöneticiliği görevinde en az 2 yıl deneyimli, , * Yazılım Geliştirme Yaşam Döngüsü ve CMMI süreçlerine hakim, , * Güncel yazılım teknolojileri hakkında bilgi sahibi, , * Projelerin planlama, gerçekleştirim takip ve raporlama süreç yönetimi deneyimine sahip, , * Tercihen PMP sertifikasına sahip, , * Proje ve süreç yönetimi için kullanılan yazılımlarda deneyimli, , * İyi derecede İngilizce bilen, , * Erkek adaylar için askerlik hizmetini tamamlamış, , * Tercihen 30 yaşından büyük,",Yazılım Proje Yöneticisi,banka_sigorta,,"Yazılım, Savunma Sanayi, Diğer",Çekino Savunma Elektronik ve Bilişim A.Ş.,Tecrübeli ya da tecrübesiz adaylar
,,,"Türkiye ve dünya geneline yayılan mağaza ve satış noktalarıyla, zengin ürün yelpazesiyle, piyasadaki kaliteli ve prestijli duruşuyla, gelişmenin sürekliliğine inanan bakış açısıyla, ürün, hizmet, güven ve kalite çemberine verdiği önemle modaya yön veren Setre, ,İstanbul Seyrantepe,',de, çalışacak ,Bilgi İşlem Yazılım Uzmanı, ,arıyor.,Yazılım yaparak projeler üretme konusunda en az 3 yıl tecrübe kazanmış,,JavaScript, jQuery, MVC, JSON, XML ve Css konularında deneyim sahibi,C# .Net bilgisi olan, SQL tecrübesi bulunan, ,Araştırmacı ve takım çalışmasına yatkın, ,Farklı teknolojileri öğrenme konusunda istekli, ,Tercihen literatürü takip edebilecek derecede İngilizce bilen, , ,Tercihen Nebim ERP üzerinde daha önce çalışmış ; yapısını bilen , , T,ercihen daha önce DevExpress üzerinde proje geliştirmiş,, Esnek çalışma saatlerine uyabilecek,, Askerlik yükümlülüğünü tamamlamış olan (erkek adaylar için) ,İŞ TANIMI,Şirketin Bilgi İşlem işleyişi ve gelişimi süreçlerinde ihtiyaç duyulan yazılımları gerçekleştirmek",Yazılım Uzmanı,banka_sigorta,,,Setre Bayan Giyim,
,,,"Athena Bilişim, 2006 yılından bu yana Kurumsal çözümler ve iş uygulamaları konusunda sektöründe lider kurumlara danışmanlık çözümlerini sunmaktadır. Bu yetkin ekibin bir parçası olacak ve müşterilerimizle ortak hedeflere yürüyecek,,yetiştirilmek üzere ,uygulama, danışmanları, alınacaktır.,•,         ,Üniversitelerin mühendislik veya işletme fakültelerinden mezun (tercihen Bilgisayar / Elektrik Elektronik / Endüstri Mühendisliği),,•,         ,İngilizce yazışma ve doküman takibi yapabilecek,,•,         ,Takımın parçası olabilecek ve enerjisini katabilecek, ,•,         ,Kitap okumayı ve araştırma yapmayı seven,,•,         ,Sorumlu olduğu işi en iyi BEN yaparım diyen,,•,         ,Müşteri ihtiyacını anlayabilecek ve müşteri odaklı davranabilecek,,•,         ,İletişim, sunum becerileri ve motivasyonu yüksek,,•,         ,Kendine güvenen, danışmanlık benim işim diyen,,•,         ,Öğrenmeye istekli ve yeni teknolojilere açık,,•,         ,ITSM, SDLC, PM, DevOps bilmese dahi öğrenirim diyen,,•,         ,Erkek adaylar için askerlik hizmetini tamamlamış,takım arkadaşları arıyoruz.",Yazılım Danışmanı,banka_sigorta,,,Athena Bilişim Çözümleri Tic. Ltd. Şti.,
,,,"USE Bilişim teknolojileri adına, hali hazırda 6 kişiden oluşan yazılım geliştirme ekibimizi büyütmek için aşağıdaki kriterlerde yeni çalışma arkadaşları aramaktayız., • Üniversitelerin ilgili mühendislik fakülteleri ya da yüksek okul Bilgisayar Programcılığı bölümlerinden mezun, • En az 4 sene iş tecrübesi olan ve en az 4 sene aktif olarak yazılım geliştirme süreçlerinde rol almış., • İlişkisel veri tabanları konsunda bilgi sahibi (MSSQL,MySQL) ,• PL/SQL bilgisi olan, stored procedure, fonksiyon ve trigger yazabilen,., • ASP.Net MVC ve C# konularında kendini geliştirmiş. ( .NET Core tecrübesi tercih nedenidir ) ,• WPF projelerinde ( özellikle ön yüz geliştirme ) deneyimli olunması tercih sebebidir., • Entity Framework, LINQ kullanarak proje geliştirmiş, ,• Unit Of Work, Repository Pattern, Factory Pattern ve diğer tasarım desenleri konularını tecrübe edebilmiş veya tecrübe etmek isteyen., • Interface kullanımı, Dependency Injection ve Thread yönetme konularını tecrübe edebilmiş veya tecrübe etmek isteyen., • Servis bazlı ve çok katmanlı mimariler konusunda tecrübeli veya çalışmaya hevesli ,• Web Api & Rest servisler ve / veya SOAP konusunda deneyimli. ,• OpenCV tecrübesi tercih sebebidir. , • IOS / Android Mobil Geliştirme süreçlerinde tecrübeli olunması tercih sebebidir. ,Çalışma Saatleri : 08:30 - 18:00. ,Çalışma Lokasyonu : Gebze Organize Sanayi Bölgesi - Teknopark içerisinde,Çalışma Alanları : Araç Geçiş Güvenlik Sistemleri ( Plaka Tanıma, Araç Altı Görüntüleme, Şoför Tanımlama ), Görüntü işleme teknolojileri ( Stichting, Image Comparison, Face Detection) , Ürün Yaşam Döngüsü Takip Sistemleri ( Hologram,QR Code ) , OCR ve Kamera Teknolojileri vs..,Servis , Yemek ve Özel Sağlık Sigortası (Allianz) olanakları mevcut.,Aşağıdaki konuların bir veya bir kaçında kaçında deneyim sahibi olunması avantaj sağlayacaktır. ,Jenkins ,Git ,TFS ,OpenCV ,OCR ,Stitching / Image Processing ,JIRA / Agile - Scrum ,Dapper ,LINQ ,Auto Mapper ,Unit Testing ,Angular / React / Vue ,JavaScript ,Jquery ,Ajax ,HTML ,CSS ,Bootstrap ,RabbitMQ ,Swagger, Hangfire ,AWS ,Cloud ,Hosting ,MongoDB,IOS / Android Development",Kıdemli Yazılım Geliştirme Uzmanı - FullStack,banka_sigorta,,,USE BİLİŞİM TEKNOLOJİLERİ LİMİTED ŞİRKETİ,
,,,"İŞ TANIMI,·,       ,Axapta geliştirme projelerinde görev alınması,,·,       ,Tasarım dokümanına uygun olarak kod yazımı ve gerekli geliştirmelerin yapılması,,·,       ,Süreç geliştirmelerinin analizi, hazırlanması ve uygulamaya alınması,·,       ,Üniversitelerin ilgili bölümlerinden mezun,,·,       ,İstanbul'da ikamet eden / edebilecek,,·,       ,En az iki yıl yazılım geliştirme tecrübesine sahip ,·,       ,Tercihen MS Dynamics Axapta sistemlerinde geliştirme yapmış,,·,       ,Yeni teknolojileri takip etme konusunda istekli, uygulama konusunda becerili,,·,       ,Takım çalışmasına yatkın, pozitif yapıda ve iletişimi güçlü,,·,       ,Esnek çalışma saatlerine ve yoğun çalışma temposuna uyum sağlayabilecek,,·,       ,Analitik, pratik ve çözüm odaklı,,·,       ,Bay adaylarda askerlik hizmetini tamamlamış,,·,       ,Yurtdışı projelerinde görev alabilecek,·,       ,Seyahat engeli olmayan,,·,       ,İyi derecede ingilizce dil bilgisine sahip olan,'Yazılım Geliştirme Uzmanı', arayışımız bulunmaktadır.",YAZILIM GELİŞTİRME UZMANI (AXAPTA),banka_sigorta,,,Tiryaki Holding A.Ş,
,,,"Zorlu Holding Bilgi Teknolojileri Grubu Başkanlığı'nda "",IT Proje Sorumlusu (SAP),"" olarak görev alacak çalışma arkadaşı aramaktayız.,Genel Nitelikler,·         Üniversitelerin tercihen Bilgisayar Mühendisliği, Endüstri Mühendisliği bölümlerinden mezun,,·         BT projelerinde en az 7 yıl tecrübeli,,·         BT Talep yönetimi ve IT altyapıları hakkında bilgi sahibi,,·         Analitik düşünce yapısına sahip, araştırmacı, problem çözme becerisi olan, planlama ve takip yönü kuvvetli, sonuç odaklı çalışabilen,,·         İnsan ilişkileri kuvvetli, etkin sözlü ve yazılı iletişim becerisi olan,,·         Ekip çalışmasına yatkın ve şirketimizin dinamik yapısına uyum sağlayabilecek,,·         Güçlü iletişim, organizasyon, zaman yönetimi yetkinliğine sahip,,·         Sürücü belgesine sahip ve aktif olarak araç kullanabilen, seyahat esnekliğine sahip. Haftanın 2 günü Manisa, 3 Günü İstanbul’da görev alabilecek. ,İş Tanımı,·         Bilgi Teknolojileri yönetiminin stratejilerine uygun olarak projelerin yönetimini desteklemek,,·         Proje tasarım ve gerçekleştirme aşamalarında anahtar kullanıcılar ile danışmanlar arasında iletişim ve koordinasyon sağlamak,,·         Sistemlerin iş sürekliliği ihtiyaçlarına göre gerekli planlama, izleme, yönetim, problem çözme ve koordinasyon aktivitelerine destek olmak,,·         Fonksiyonel birimlerdeki sorumlularla çalışarak mevcut süreçler/kullanılan bilgi sistemlerinde iyileştirmeler yapmak veya yeni süreçler/bilgi sistemleri tasarlamak,,·         Sistemler ve süreçler arası entegrasyon noktalarını belirlemek, entegrasyonun kurulması ve devamlılığının sağlanmasında aktif rol almak,,·         İş sürekliliğini sağlamak üzere araştırma geliştirme ve iyileştirme çalışmalarında bulunmak, yeni teknolojileri takip etmek.",IT Proje Sorumlusu (SAP),banka_sigorta,,,ZORLU HOLDİNG A.Ş.,
,,,"Teknik Özellikler,İŞ TANIMI",Mobil Teknolojileri Yazılım Mühendisi,banka_sigorta,,,Kuveyt Türk Katılım Bankası A.Ş.,
